iter	Passed	Remaining
0	2	2073
1	4	2104
2	6	2177
3	8	2139
4	10	2168
5	12	2116
6	14	2095
7	16	2026
8	18	2020
9	20	2022
10	22	2009
11	24	2022
12	26	2009
13	28	1992
14	30	1976
15	31	1961
16	33	1964
17	35	1961
18	38	1964
19	40	1961
20	41	1951
21	43	1943
22	45	1934
23	47	1944
24	50	1956
25	52	1954
26	53	1941
27	55	1934
28	57	1930
29	59	1928
30	61	1908
31	62	1904
32	64	1903
33	67	1907
34	68	1898
35	70	1897
36	72	1891
37	74	1894
38	76	1890
39	78	1887
40	80	1890
41	82	1892
42	85	1896
43	87	1893
44	89	1895
45	91	1891
46	93	1887
47	94	1872
48	96	1879
49	98	1879
50	101	1882
51	103	1879
52	104	1874
53	106	1870
54	107	1851
55	109	1852
56	111	1852
57	113	1843
58	115	1844
59	117	1844
60	119	1839
61	121	1835
62	123	1830
63	125	1829
64	127	1828
65	129	1827
66	131	1831
67	133	1827
68	135	1824
69	136	1816
70	138	1814
71	140	1811
72	142	1811
73	144	1810
74	147	1818
75	149	1818
76	151	1814
77	153	1811
78	155	1808
79	157	1808
80	159	1810
81	161	1808
82	163	1805
83	165	1801
84	167	1798
85	168	1794
86	170	1792
87	173	1793
88	175	1796
89	177	1795
90	179	1792
91	181	1790
92	183	1786
93	185	1783
94	187	1784
95	189	1786
96	191	1786
97	193	1782
98	195	1779
99	197	1778
100	198	1768
101	200	1766
102	202	1767
103	204	1765
104	207	1764
105	209	1762
106	210	1759
107	212	1753
108	214	1750
109	216	1751
110	218	1750
111	220	1749
112	222	1747
113	224	1744
114	226	1742
115	228	1739
116	230	1738
117	232	1740
118	235	1740
119	237	1739
120	239	1736
121	241	1734
122	243	1734
123	245	1731
124	247	1731
125	249	1731
126	251	1730
127	253	1727
128	255	1726
129	257	1724
130	259	1721
131	261	1718
132	263	1718
133	265	1717
134	267	1716
135	269	1714
136	271	1712
137	273	1710
138	275	1707
139	277	1706
140	279	1704
141	282	1704
142	284	1703
143	286	1701
144	288	1701
145	290	1698
146	292	1699
147	294	1697
148	297	1696
149	299	1695
150	301	1693
151	303	1690
152	304	1687
153	306	1686
154	308	1684
155	311	1682
156	313	1681
157	315	1680
158	317	1678
159	319	1677
160	321	1675
161	323	1673
162	325	1672
163	328	1672
164	330	1670
165	332	1668
166	333	1665
167	335	1662
168	338	1662
169	340	1660
170	342	1659
171	344	1657
172	346	1656
173	348	1654
174	350	1653
175	352	1651
176	354	1649
177	356	1647
178	359	1647
179	361	1644
180	362	1642
181	364	1639
182	366	1636
183	368	1634
184	370	1632
185	372	1630
186	374	1629
187	376	1627
188	378	1625
189	380	1622
190	382	1619
191	384	1617
192	386	1616
193	388	1615
194	390	1613
195	392	1611
196	394	1609
197	396	1606
198	398	1604
199	400	1603
200	402	1601
201	404	1599
202	406	1597
203	408	1594
204	410	1591
205	412	1589
206	414	1588
207	416	1586
208	418	1585
209	420	1582
210	422	1580
211	424	1577
212	426	1574
213	428	1572
214	430	1571
215	432	1570
216	434	1568
217	436	1566
218	438	1563
