mrmr	xgb	gbdt	rf
7	17	17	19
112	135	31	17
18	19	19	21
19	3	14	26
3	14	62	12
23	93	3	10
22	62	40	11
75	100	28	9
77	86	1	6
76	96	26	4
12	117	60	5
2	40	8	1
138	60	6	3
110	106	9	31
79	34	2	20
20	56	10	2
122	11	72	18
17	67	5	28
127	31	0	22
82	8	4	24
11	109	54	27
85	44	58	23
78	42	41	0
115	71	135	60
81	91	30	29
21	89	27	30
1	47	21	62
117	48	13	47
87	2	34	72
6	33	74	56
52	28	47	8
69	15	48	35
94	32	57	61
72	74	18	48
98	20	20	54
80	45	71	40
104	5	53	71
68	41	52	45
83	4	63	74
66	66	46	70
88	130	45	50
106	24	35	25
84	9	64	52
89	21	93	49
62	39	68	57
126	12	61	63
96	26	16	46
103	49	29	34
109	37	15	44
101	36	36	64
102	65	50	59
86	30	38	58
65	1	55	55
46	55	133	51
41	98	24	41
93	0	119	53
120	73	51	39
105	46	117	73
130	50	11	42
108	43	44	36
95	52	32	33
134	22	39	14
119	53	25	43
55	25	59	37
129	72	89	13
137	29	91	38
111	35	122	32
40	75	70	15
99	59	49	67
36	69	12	16
123	16	67	68
54	27	108	65
57	38	23	66
107	63	42	69
121	58	56	117
133	126	73	100
27	61	111	93
5	6	22	122
74	7	112	87
56	68	123	137
132	54	120	77
37	51	66	135
116	23	37	88
58	70	100	128
118	64	136	104
4	13	69	7
25	57	102	127
31	10	125	123
136	102	84	134
30	105	7	91
42	101	95	96
92	18	92	125
100	88	65	132
61	92	87	116
70	87	76	111
33	115	75	89
24	133	124	95
39	137	86	103
53	118	121	124
35	119	126	114
15	136	118	118
125	120	78	106
113	121	77	107
67	134	128	130
13	132	127	112
60	125	115	102
8	122	129	138
45	131	130	105
59	129	131	101
34	128	132	121
128	123	43	99
97	124	134	119
43	127	33	113
49	116	137	94
29	104	116	129
63	114	79	90
73	113	114	131
10	76	82	126
28	77	88	86
51	78	85	108
14	79	90	109
9	80	83	92
38	81	94	136
16	82	96	120
44	83	97	98
32	84	98	115
47	85	99	76
71	90	101	97
50	94	113	133
90	95	103	80
114	97	104	81
135	99	105	83
64	103	106	79
48	107	107	75
91	108	81	110
131	110	109	78
26	111	110	84
124	112	80	85
0	138	138	82
